PROPERTY TYPE,ADDRESS,CITY,STATE,ZIPCODE,PRICE,BEDS,BATHS,LOCATION,SQFT,LOTSIZE,YEARBUILT,DAYSONMARKET,PPSQFT,HOA,LATITUDE,LONGITUDE
Single Family Residential,4034 21st Ave SW,Seattle,WA,98106,770500,3,2.5,Pigeon Point,1430,2600,2017,48,539,,47.5673349,-122.3598746
Single Family Residential,13019 Meridian Ave N,Seattle,WA,98133,649000,3,1,Haller Lake,1400,6560,1950,48,464,,47.7238499,-122.334481
Single Family Residential,5950 17th Ave SW,Seattle,WA,98106,589000,3,2.25,Puget Ridge,2840,5872,1959,49,207,,47.548616,-122.3556774
Single Family Residential,4142 19th Ave SW,Seattle,WA,98106,749975,3,3,Pigeon Point,1810,3798,2019,49,414,,47.5653906,-122.3575605
Single Family Residential,9219 Stone Ave N,Seattle,WA,98103,629999,2,2.5,Licton Springs,1175,1366,2005,50,536,,47.696208,-122.3421269
Single Family Residential,4517 50th Ave SW,Seattle,WA,98116,775000,3,3,Genesee,2650,5750,1979,51,292,,47.562424,-122.3965981
Single Family Residential,10618 51st Ave S,Seattle,WA,98178,310000,3,1,Seattle,720,5880,1940,53,431,,47.5055472,-122.2698594
Single Family Residential,918 N 100th St,Seattle,WA,98133,825000,3,1,Greenwood,750,7687,1920,55,1100,,47.7016354,-122.3464635
Single Family Residential,5109 S Willow St,Seattle,WA,98118,499000,2,1.75,Seward Park,1150,5000,1915,55,434,,47.540519,-122.2693949
Single Family Residential,915 N 39th St,Seattle,WA,98103,599999,3,1.75,Fremont,1220,960,1920,56,492,,47.6540246,-122.3465065
Single Family Residential,636 W Mercer Pl Unit 1-2,Seattle,WA,98119,1250000,3,2,Queen Anne,2420,6400,1907,56,517,,47.6261509,-122.3658817
Single Family Residential,4228 Interlake Ave N,Seattle,WA,98103,1199000,3,1.5,Wallingford,1560,4000,1921,57,769,,47.6589287,-122.340489
Single Family Residential,6319 41st Ave SW,Seattle,WA,98136,750000,2,2,West Seattle,1920,4800,1953,58,391,,47.5460662,-122.3847303
Single Family Residential,4732 48th Ave NE,Seattle,WA,98105,1340000,3,2.5,Laurelhurst,2140,5200,1944,59,626,,47.664058,-122.2754678
Single Family Residential,2810 NE 115th St,Seattle,WA,98125,719500,3,2,Meadowbrook,1540,8325,1950,60,467,,47.7122564,-122.2969145
Single Family Residential,9015 13th Ave SW,Seattle,WA,98106,468500,1,1,Highland Park,800,6660,1942,60,586,,47.5223662,-122.3519576
Single Family Residential,9248 24th Ave SW,Seattle,WA,98106,549500,3,1.75,Westwood,1060,5500,1947,61,518,,47.519653,-122.362889
Single Family Residential,6754 19th Ave NW Unit B,Seattle,WA,98117,639950,2,1.5,Ballard,872,1931,2020,61,734,35,47.6793451,-122.3808041
Single Family Residential,9427 8th Ave SW,Seattle,WA,98106,429000,3,1,Highland Park,950,7320,1954,62,452,,47.5183177,-122.3457189
Single Family Residential,2417 NW 60th St,Seattle,WA,98107,1500000,3,1.75,Ballard,2340,5000,1912,62,641,,47.6721982,-122.3884999
Single Family Residential,5412 21st Ave NE,Seattle,WA,98105,1499950,3,1.75,Ravenna,3682,5000,1914,63,407,,47.6684035,-122.3050992
Single Family Residential,2029 Yale Ave E,Seattle,WA,98102,2000000,3,0.75,Eastlake,1150,5500,1907,67,1739,,47.6377595,-122.3274421
Single Family Residential,6147 S 124th St,Seattle,WA,98178,499900,3,2,Skyway,1400,13266,1952,68,357,,47.4918176,-122.255985
Single Family Residential,9664 Rainier Ave S,Seattle,WA,98118,1180000,3,1.75,Rainier Beach,1640,2614,1963,68,720,,47.5180673,-122.2552013
Single Family Residential,424 SW 111th St,Seattle,WA,98146,610000,3,2.5,White Center,1850,3656,2015,69,330,80,47.5044905,-122.339976
Single Family Residential,2004 E Pine St,Seattle,WA,98122,428000,1,1,Capitol Hill,710,956,1922,69,603,400,47.6154264,-122.3057847
Single Family Residential,4206 Linden Ave N,Seattle,WA,98103,699950,2,2.5,Fremont,1180,900,2008,69,593,,47.6579738,-122.3483208
Single Family Residential,4015 Fremont Ave N,Seattle,WA,98103,899000,2,1,Fremont,1230,4000,1912,76,731,,47.6558636,-122.3503265
Single Family Residential,8832 Interlake Ave N,Seattle,WA,98103,950000,2,1,Green Lake,1560,5125,1946,77,609,,47.6933727,-122.3398679
Single Family Residential,6021 Beach Dr SW,Seattle,WA,98136,2950000,3,3.5,Beach Drive,3739,16355,2016,77,789,,47.5477959,-122.3985143
Single Family Residential,3718 E Alder St,Seattle,WA,98122,875000,3,1.75,Leschi,1800,4150,1901,78,486,,47.6040766,-122.2856972
Single Family Residential,11011 18th Ave SW,Seattle,WA,98146,439500,3,1,Seattle,1450,8382,1942,78,303,,47.5045603,-122.3582078
Single Family Residential,3014 SW Harbor Ln,Seattle,WA,98126,400000,2,1,Alki,750,3600,1914,79,533,,47.5770735,-122.3723238
Single Family Residential,7509 S Sunnycrest Rd,Seattle,WA,98178,599500,3,3,Lakeridge,2450,7930,1952,81,245,,47.507274,-122.240016
Single Family Residential,10625 1st Ave SW,Seattle,WA,98146,450000,2,1,Seattle,895,6120,1942,83,503,,47.5078524,-122.334996
Single Family Residential,938 N 79th St,Seattle,WA,98103,899000,3,2.25,Green Lake,1830,3000,1987,84,491,,47.6864327,-122.3454487
Single Family Residential,806 NE 60th St,Seattle,WA,98115,835000,2,1.5,Ravenna,1810,2501,1921,84,461,,47.6723901,-122.3196532
Single Family Residential,9611 26th Ave NW,Seattle,WA,98117,775000,3,1.5,North Beach,1840,15656,1924,86,421,,47.6989471,-122.3893593
Single Family Residential,424 N 68th St,Seattle,WA,98103,800000,3,2,Phinney Ridge,1690,2700,1906,89,473,,47.6788993,-122.3532496
Single Family Residential,546 31st Ave,Seattle,WA,98122,650000,3,1,Leschi,1560,3000,1922,90,417,,47.607517,-122.2923103
Single Family Residential,832 S Cloverale St,Seattle,WA,98108,875000,0,,South Park,860,6000,1922,92,1017,,47.5266842,-122.3215098
Single Family Residential,6728 SW 34th Ave SW Unit 33CC,Seattle,WA,98126,699950,3,3,High Point,1897,1995,2020,95,369,122,47.542285,-122.37476
Single Family Residential,4047 21st Ave SW,Seattle,WA,98106,456000,2,1,Pigeon Point,1220,5000,1918,97,374,,47.5669612,-122.3605629
Single Family Residential,14514 Stone Ave N,Shoreline,WA,98133,1199999,0,,Westminster,3140,15992,1949,97,382,,47.7346268,-122.3420861
Single Family Residential,5207 5th Ave NE,Seattle,WA,98105,689500,3,1,Green Lake,1660,2894,1923,97,415,,47.6667461,-122.323115
Single Family Residential,514 Ward St #102,Seattle,WA,98109,899000,2,2.25,Queen Anne,1755,5160,1998,97,512,300,47.6282812,-122.3468101
Single Family Residential,5700 SW Spokane St,Seattle,WA,98116,1750000,3,2.5,Genesee,4160,8525,1986,98,421,,47.5724896,-122.4056433
Single Family Residential,115 27th Ave,Seattle,WA,98122,780000,2,2,Central Area,1800,4600,1947,100,433,,47.6021334,-122.2981113
Single Family Residential,4600 Phinney Ave N,Seattle,WA,98103,759900,3,1.75,Fremont,1420,590,2018,105,535,,47.6621487,-122.3539956
Single Family Residential,928 23rd,Seattle,WA,98122,670000,3,1,Central Area,1110,4880,1902,106,604,,47.610909,-122.3024607
Single Family Residential,9202 23rd Ave SW,Seattle,WA,98106,1300000,2,1,Westwood Village,1110,9454,1947,106,1171,,47.5208526,-122.3623396
Single Family Residential,434 Lakeside Ave S,Seattle,WA,98144,2995000,2,0.75,Leschi,970,11286,1937,107,3088,,47.5980818,-122.286486
Single Family Residential,3436 38th Ave SW,Seattle,WA,98126,905000,3,2,Belvidere,2140,5000,1946,111,423,,47.5720371,-122.38
Single Family Residential,1815 SW 100th St,Seattle,WA,98146,499999,3,2.5,White Center,2090,5227,1919,117,239,,47.513481,-122.3580655
Single Family Residential,1229 6th Ave N,Seattle,WA,98109,849000,2,1.75,Queen Anne,1920,1647,1908,119,442,,47.630615,-122.3452171
Single Family Residential,1501 17th Ave E,Seattle,WA,98112,1700000,3,2.5,Capitol Hill,3420,3570,1904,120,497,,47.6324378,-122.3100735
Single Family Residential,4541 S Brandon St,Seattle,WA,98118,579000,3,2.25,Hillman City,3220,6100,1912,124,180,,47.5531411,-122.2760087
Single Family Residential,10031 41st Ave SW,Seattle,WA,98146,360200,2,1,Arbor Heights,873,5227,1927,128,413,,47.5128897,-122.384852
Single Family Residential,6718 34th Ave SW Unit 33RR,Seattle,WA,98126,689950,3,3,High Point,1840,1871,2020,138,375,121,47.542589,-122.374464
Single Family Residential,11633 Rainier Ave S,Seattle,WA,98178,425000,3,1.75,Bryn Mawr,1330,6553,1945,150,320,,47.4982482,-122.2206018
Single Family Residential,4104 Leary Way NW,Seattle,WA,98107,829950,2,1,Fremont,1580,4680,1904,166,525,,47.6572707,-122.3627423
Single Family Residential,5004 Puget Blvd SW,Seattle,WA,98106,565000,1,1,Delridge,720,11770,1965,169,785,,47.5572541,-122.3615282
Single Family Residential,7915 Seward Park Ave S,Seattle,WA,98118,940000,3,2,Seward Park,3100,8480,1955,174,303,,47.5311709,-122.2667836
Single Family Residential,950 Hiawatha Pl S,Seattle,WA,98144,795000,1,1,N Beacon Hill,990,3430,1924,176,803,,47.5931286,-122.3078061
Single Family Residential,319 Randolph Ave,Seattle,WA,98122,1995000,3,2.5,Leschi,2900,7665,1911,188,688,,47.6044213,-122.2865052
Single Family Residential,728 N 80th St,Seattle,WA,98103,669000,3,1.75,Green Lake,1610,3060,1911,190,416,,47.6871516,-122.3486181
Single Family Residential,3356 E Shore Dr,Seattle,WA,98112,1849000,3,2,Broadmoor,3130,7310,1926,197,591,165,47.6401354,-122.2884859
Single Family Residential,6520 Linden Ave N,Seattle,WA,98103,754900,3,2,Green Lake,1540,2800,1928,209,490,,47.6765425,-122.3474542
Single Family Residential,2444 SW Holden St,Seattle,WA,98106,824850,3,1,Westwood,910,15050,1950,216,906,,47.533925,-122.3651786
Single Family Residential,300 S Orcas St,Seattle,WA,98108,1250000,3,1.75,Georgetown,2680,5500,1938,217,466,,47.55204391,-122.3307457
Single Family Residential,5156 S Director St,Seattle,WA,98118,475000,3,1.75,Rainier Beach,1160,8400,1941,241,409,,47.522093,-122.2675441
Single Family Residential,9829 51st Ave SW,Seattle,WA,98136,3995000,3,3,West Seattle,3304,11722,2008,247,1209,,47.5144843,-122.3957694
Single Family Residential,139 NW 85th St,Seattle,WA,98117,1199000,0,,Greenwood,860,4280,1910,252,1394,,47.6904386,-122.3596835
Single Family Residential,10449 11th Ave SW,Seattle,WA,98146,449000,3,2,Burien,2260,8400,1953,267,199,,47.5086696,-122.3492063
Single Family Residential,6123 S Pilgrim St,Seattle,WA,98118,564995,2,1.75,Rainier Beach,1930,4500,1929,280,293,,47.5157645,-122.2556024
Single Family Residential,8451 24th Ave SW,Seattle,WA,98106,415000,2,1,Westwood,1232,7680,1918,299,337,,47.526759,-122.3634105
Single Family Residential,5032 30th Ave S,Seattle,WA,98108,1000000,2,1,Beacon Hill,1980,38544,1953,300,505,,47.5561919,-122.2937849
Single Family Residential,4037 21st Ave SW,Seattle,WA,98106,1574000,0,,Pigeon Point,870,20380,1918,301,1809,,47.5672616,-122.360521
Single Family Residential,4308 W Cramer St,Seattle,WA,98199,4500000,3,3.25,Magnolia,6471,14367,2020,328,695,,47.668724,-122.41095
Single Family Residential,3203 SW Holly St Unit 33LL,Seattle,WA,98126,749950,3,3,High Point,1840,2000,2020,362,408,122,47.542693,-122.374067
Single Family Residential,1330 Alki Ave SW,Seattle,WA,98116,2000000,2,1,Alki,1900,9020,1915,404,1053,,47.5922171,-122.391157
